gate_id,area,test_case,expected_result,status,evidence,notes
FG-01,Install,Install debug APK,adb install returns Success,PENDING,,
FG-02,Launch,Launch MainActivity,Activity starts with no fatal exception,PENDING,,
FG-03,Permissions,Enable accessibility service,Service reports connected and app remains stable,PENDING,,
FG-04,WhatsApp Personal,Sync groups,Reference group set discovered with no false COMPLETE,PENDING,,
FG-05,WhatsApp Business,Sync groups,Reference group set discovered with no false COMPLETE,PENDING,,
FG-06,Long list,Terminal consensus,One failed/no-op scroll does not end sync; 3 stable confirmations required,PENDING,,
FG-07,Duplicate names,Identity verification,Wrong duplicate-title chat is never extracted,PENDING,,
FG-08,Deep extraction,Long chat extraction,Links persist incrementally and start-of-chat terminal consensus completes,PENDING,,
FG-09,New-only,Resume from high-water,Stops at prior verified boundary without replaying full history,PENDING,,
FG-10,Lifecycle,Pause/resume mid-group,Resumes from durable checkpoint after re-verification,PENDING,,
FG-11,Lifecycle,Kill/recreate service,Run reconstructs from durable queue/checkpoint without queue corruption,PENDING,,
FG-12,Recovery,Fail one group,Failed item is bounded and next queue item proceeds,PENDING,,
FG-13,Join Direct,Direct join,Success only after verified member state,PENDING,,
FG-14,Join Approval,Request to join,Success only after request-sent/member postcondition,PENDING,,
FG-15,Join Stale target,Target changes between classify/click,Action fails closed and does not click a replacement target,PENDING,,
FG-16,Long run,6-hour stability,0 crashes; no unbounded memory growth; no false COMPLETE,PENDING,,
FG-17,Export,Export DB-backed results,Export count/content matches durable database,PENDING,,
